country,country_name,income_level_code,income_group,complete_years,first_complete_year,last_complete_year,included,exclusion_reason,coverage_rule,selected_country_set_sha256
SGP,Singapore,HIC,High Income,8,2010,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SLB,Solomon Islands,LMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SLE,Sierra Leone,LIC,Low and Middle Income,2,2000,2002,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SLV,El Salvador,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SMR,San Marino,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SOM,"Somalia, Fed. Rep.",LIC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SRB,Serbia,UMC,Low and Middle Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SSD,South Sudan,LIC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
STP,Sao Tome and Principe,LMC,Low and Middle Income,5,2009,2015,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SUR,Suriname,UMC,Low and Middle Income,3,2002,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SVK,Slovak Republic,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SVN,Slovenia,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SWE,Sweden,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SWZ,Eswatini,LMC,Low and Middle Income,8,1996,2013,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SXM,Sint Maarten (Dutch part),HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SYC,Seychelles,HIC,High Income,10,2011,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SYR,Syrian Arab Republic,LIC,Low and Middle Income,15,2002,2016,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TCA,Turks and Caicos Islands,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TCD,Chad,LIC,Low and Middle Income,13,1996,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TGO,Togo,LMC,Low and Middle Income,15,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
THA,Thailand,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TJK,Tajikistan,LMC,Low and Middle Income,18,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TKM,Turkmenistan,UMC,Low and Middle Income,3,2014,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TLS,Timor-Leste,LMC,Low and Middle Income,3,2002,2010,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TON,Tonga,UMC,Low and Middle Income,4,2000,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TTO,Trinidad and Tobago,HIC,High Income,4,2000,2004,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TUN,Tunisia,LMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TUR,Turkiye,UMC,Low and Middle Income,20,1998,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TUV,Tuvalu,UMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
TZA,Tanzania,LMC,Low and Middle Income,17,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
UGA,Uganda,LIC,Low and Middle Income,12,1996,2014,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
UKR,Ukraine,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
URY,Uruguay,HIC,High Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
USA,United States,HIC,High Income,11,1996,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
UZB,Uzbekistan,LMC,Low and Middle Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
VCT,St. Vincent and the Grenadines,UMC,Low and Middle Income,11,2010,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
VEN,"Venezuela, RB",LMC,Low and Middle Income,6,2000,2009,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
VGB,British Virgin Islands,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
VIR,Virgin Islands (U.S.),HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
VNM,Viet Nam,UMC,Low and Middle Income,19,1996,2019,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
VUT,Vanuatu,LMC,Low and Middle Income,4,2000,2004,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
WSM,Samoa,UMC,Low and Middle Income,6,1998,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
XKX,Kosovo,UMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
YEM,"Yemen, Rep.",LIC,Low and Middle Income,10,2002,2011,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ZAF,South Africa,UMC,Low and Middle Income,9,2012,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ZMB,Zambia,LMC,Low and Middle Income,3,1998,2012,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ZWE,Zimbabwe,LMC,Low and Middle Income,5,2010,2015,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
